Anime,Recommendation,Reasoning,Recommendation Power
Baki,"['Kengan Ashura', 'Megalo Box']","['One obvious recommendation is Baki, which is also on Netflix. Baki is about how Baki Hanma wants to be the very best, like no one ever was! To beat his father is his test, to train like no other is his cause. He will travel across the land, kicking ass and taking names. To face other martial artists to understand the power that’s inside. In this Netflix exclusive, the fight comes to him as a bunch of death row inmates from around the world break out to come to Japan and test their skills. Not only does the anime center around Baki, but his friends and foes who are entangled in this fight where their very honor as martial artists are at stake!\r\n\r\nLike Kengan Ashura, Baki uses privately sponsored underground MMA as its backdrop. As opposed to fighting over contracts, the fighting in Baki is mostly about honor as men. As to how the fights are executed, Baki’s fights are similar to Kengan Ashura’s as they rely more on hardened martial arts but compared to Kengan Ashura, the intensity of Baki’s fights are on steroids! And we’re not talking about any steroids, we’re talking about a cocktail mix of Russian and Mexican steroids! When you take into account that the season primarily focuses on fugitives, that’s the best way to describe how insane the fights get. When you watch the fights, every punch and kick thrown is with not just bad, but with the worst of intentions! Last, they’re artistically similar with its details to muscles, fighters with insane gimmicks, and crazy hair styles!', ""Similarities: \r\n\r\n- Both MCs are forced to combat against other intense opponents in a 'match'.\r\n- Both premises are placed in urban settings\r\n- Both series include (but aren't limited to) hand to hand combat. \r\n- Opponents have a similar end goal (in Megalonia & Match)""]","[2, 1]"
Shaman King,"['Soul Eater', 'Fate/Zero']","['This series is similar to Shaman King in the sense that both use similar fighting styles. In Shaman King, the shaman’s ghost ally can merge with the weapon being used, whereas in Soul Eater, a human actually transform into the weapon itself.\r\n\r\nBoth the wielder and the wielded have to communicate effectively in order to win the fight, and as both series progress, the characters learn how to overcome their personal obstacles in order to defeat their opponents.', '- both shows are centered around a battle royal\r\n- characters who are taking part in battle royal in both series have a servant who are fighting alongside them']","[1, 1]"
Baka to Test to Shoukanjuu,"['Kore wa Zombie Desu ka?', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)', 'Ansatsu Kyoushitsu']","['Both have good amount of comedy and ecchiness.', 'they school system were similiar.. youzitsu going on serious series while baka to test go for the comedic..', ""Similar school settings, where grades are the only things that matter. Large, fun cast of students in the 'worst' class, looked down upon others. Funny and entertaining in their own ways.""]","[1, 2, 1]"
Neon Genesis Evangelion,"['Steins;Gate', 'Key the Metal Idol', 'Kaiba', 'Sword Art Online', 'SSSS.Gridman', 'Darling in the FranXX', 'Virus: Virus Buster Serge', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV)', 'Tengen Toppa Gurren Lagann', 'Serial Experiments Lain', 'Akira', 'Kareshi Kanojo no Jijou', 'King of Prism: Pride the Hero', 'Mugen no Ryvius']","['both have a faceless antagonist and have a disturbing and fascinating atmosphere', ""I agree with the other rec. -- similar '90s anime art style, Psychological themes, early lightheartedness followed by tragedy, action, MC having to learn about what it means to be alive\r\n\r\nKey has female MC\r\nNeon Genesis has male MC"", 'Kaiba attempts to create an overarching world, analogous to Evangelion, but the slice-of-life elements are mostly what elevates it to the\r\ninterest of psychology, at a more quintessential level, than the interpersonal.', ""- Shinji and Kirito are complex protagonists with lots of depth who are more than who they appear to be at first;\r\n- Asuka and Asuna are headstrong, beautiful and badass girls who also have/had issues with their respective mothers;\r\n- Similar genres (Drama, Sci-Fi, Tragedy);\r\n- Futuristic settings and vast world buildings;\r\n- Magnificent art styles and character designs;\r\n- NGE has a (zig-zagged) coming-of-age subplot while SAO has two of these stories, Fairy Dance for Kirito and the Mother's Rosario for Asuna;\r\n- The epitome of controversialism amongst the anime community;\r\nBoth series have characters who are generic on the surface, but once you delve into their minds you're able to see their intricacies, facets and developments, the plot for both series also starts off generic but in the last part they become deep and meaningful stories about the concepts of what it means to be human, both series have epic fights, romantic subplot, realistic and relatable characters and amazing interactions between them, they're both highly influential and they also have compelling and satisfying endings."", 'Out of all the shows that make attempts to pay homage to Eva, SSSS.Gridman accomplishes this the best in my opinion. Both shows are able to supply the enjoyment of giant kaiju/mecha battles while actually making their characters and themes of existentialism the actual focus of their narratives. If Eva left you satisfied but understandably nihilistic Gridman is a slightly more wholesome take on a similar story.', '-mecha fights\r\n-some relationships between pilots', 'Both are Mecha\r\nVirus occasionally has a psychological feel to it alike that in Evangelion (sometimes even has the images that flash up)\r\nAt some points, the artstyle in Virus looks similar to Evangelion', 'Similar yet different anime. Both successfully and effectively convey their message and philosophy to the readers though they are totally different genres. NGE, however, goes further in character development and easter eggs but they both well question human relationships.', ""Being a magical girl, transforming and using your powers to fight evil. Or pilot a giant mecha, protecting the Earth from an alien onslaught. Doesn't it sound like fun? Well, it's not really all that fun for the kids in these series. Both shows portray these genres in a much darker way than usual.\r\n\r\nShouldering a very heavy responsibility,  and the emotional trauma that can come from that; being different from the other children, and not necessarily in a good way; and how their newfound powers can affect the people around them: these  are some of the themes that are explored in these works. They both use plenty of symbolism, as well. If either show was interesting to you because of this you should try the other one."", 'The two pillars of mecha. Classic shows, except one happens to have a lot less existential depression. If Evangelion is about recognizing the importance of love for yourself and others, Gurren Lagann is about breaking the perceived limitations that trap us in order to develop our best selves and achieve the impossible. Watch these masterpieces. They were both made by Gainax (when they were still genius) anyway.', 'Both programs have viewers divided over the true meaning of the series. Some may watch both Lain and NGE and end scratching their heads, but if you like to interpret the narrative yourself to find the true intent of the creator, these shows are both absolute must-watches. Also a recommendation to those who enjoy art-house films (especially the tail end of NGE. Reality is very fickle, and the emotions of the characters become the driving force behind the action and surreality.)', 'These are both franchises that were early staples in the anime industry. They have similar animation style and grim nature.', 'I certainly wobn\'t be the last person to compare Kare Kano & Evangelion. But the two shows are actually more similar than meets the eye. They share the same director, \'Hideaki Anno"", so they share a similar style of cinematography & shot composistion. Kare Kano also contains the studying of human psyche & how it affects the characters in their day to day lives like Eva does. It also has a similar style of music thanks to Shirou Sagisu returnng to do the score. Take this more as me recommending Kare Kano to Eva fans more so than recommending Eva to Kare Kano fans.', ""Lots of biblical references that don't contribute to anything in the show"", ""Ryvius and Evangelion at their core are psychological sci-fi about teenagers put into harms way and their slow descent into madness over it. Clearly Ryvius took a thorough look at Evangelion's plot elements and character designs, but doesn't go as far as to fully clone it. There are a lot of shared elements nevertheless: mechas, a mysterious and extremely powerful threat from space, shitloads of teenage angst, a the-end-justifies-the-means government agency who put research progress over the life of people, and of course a lingering end of the world threat. Ryvius unlike Evangelion lacks religious and supernatural elements and tries hard to remain a hard sci-fi and space opera. If you like to see teenager minds melting under pressure, watch both.""]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Kamisama Hajimemashita,"['Fruits Basket 1st Season', 'Noragami', 'Meiji Tokyo Renka', 'Jibaku Shounen Hanako-kun', 'Kakuriyo no Yadomeshi']","['-Supernatural Romance\r\n-Homeless Girl\r\n-Both Have Very Fun and Interesting Stories!', 'If you enjoyed Noragami as much as I do then try Kamisama kiss, I swear it will not disappoint you. Both are about the gods and the main leads be both lookin fine <3', '-Similar comedy\r\n-Some characters have the same voice actors\r\n-Both are emotional\r\n-Heartwarming', 'Idky but it just feels similiar like she gets swept into the supernatural life with a contract type thing. And the ML like and protect the MC.', ""Kamisama Hajimemashita starts off with an ayakashi/youkai taking MC to the other world and so does Kakuriyo no Yadomeshi. The both MCs are very strong and independent women that has lost their family when they were young. At first both animes shows how the couple does not like each other but later on, throughout the anime, it shows development in their relationships. Somehow, the ayakashi/youkai has connections with MC without MC even knowing that they had. Although the type of ayakashi/youkai is different in these two animes, they are both good looking. Both are very interesting and fun to watch, especially the storylines and the development in relationships are really good too. Also, their openings, songs, original soundtracks are indeed very fun to hear and very relaxing. Overall, I enjoyed wathching these two animes and because Kamisama Hajimemashita was the first one I've watched before I watched Kakuriyo no Yodomeshi, Kamisama Hajimemashita has always been my favorite youkai anime ever. But it adds two to my list. Kakuriyo no Yodomeshi is my second favorite. I definitely recommend you watching these two animes if you haven't!""]","[1, 1, 1, 1, 1]"
Mob Psycho 100,"['Saiki Kusuo no Ψ-nan', 'Gunjou no Magmell', 'Grand Blue', 'Eizouken ni wa Te wo Dasu na!', 'Hinamatsuri', 'Cike Wu Liuqi', 'Xian Wang de Richang Shenghuo']","['If you like the comedy in Mob Psycho 100, you will probably find The Disastrous Life of Saiki K funny as well. Both shows follow a similar plot of the protagonist holding psychic powers and experiencing the ups and downs with having those unlimited abilities. Just like Mob Psycho 100, The Disastrous Life of Saiki K has emotional, heart-warming moments. The main difference between the two shows is that The Disastrous Life of Saiki K seems more quick-paced, but that is not a bad thing.', ""Both involve an MC that is overpowered but doesn't show it\r\nLike Mob the plot circles around the MC's job, however, Gunjou no Magmell is all mini-arcs"", 'What does a show about diving and a show about supernatural, telekinetic powers have in common? The body improvement club! While they serve different purposes narratively, the muscular dudes in both Grand Blue and Mob Psycho serve as the lovable guidance in the series that help the protagonist grow into a better person through their sheer kindness and willpower.', 'Eizouken and Mob Psycho are pretty different in terms of tone and subject matter, but where they both shine is in their animation. The teams of both have a clear passion for and deep respect of art and animation, and give unique spins to their styles to accentuate different aspects. Eizouken\'s sketchy sequences which blend imagination and reality are breathtakingly beautiful and extremely fun, while MP100 uses techniques like paint-on-glass to capture an ethereal and otherworldly vibe.\r\n\r\nHumor is pretty similar for both series. Often, they will take ""realistic"" set-ups and exaggerate them for the sake of comedy, while still maintaining a down-to-earth feeling and sincere characters. Both follow unique and charming protagonists in a slice-of-life setting. \r\n\r\nAlthough one is a slice-of-life about making anime, and the other is a shounen about psychics, both are heartfelt, sincere anime about being true to yourself and putting in hard work to become the best possible version of yourself.', 'Both shows have mentors that teach their pupils important lessons about life and how they should use restraint. The meaning of caring for someone, and family.\r\n\r\nObviously Esp, need I explain further.\r\n\r\nBut most importantly, both have huge character development that leaves you stunned and shocked, but also fulfilled and happy that you got to see them grow and mature.', 'Is very fun, touching and much beauty', 'Another series with OP main character. Funny daily life stories. Low profile. I really recommend Mob Psycho 100 tho it is a little bit underrated and the picture is ""artistic"".']","[7, 1, 1, 1, 1, 1, 1]"
D-Frag!,"['Comic Girls', 'Aho Girl', 'Saiki Kusuo no Ψ-nan', 'Murenase! Seton Gakuen']","['-cute girls\r\n-high school\r\n-club activity\r\n-slice of life', 'Both are extremely fun comedies. D_frag has slightly more emphasis on characters, and has more side characters. D_frag is also a little more bizzare comedy, but the main comedy comes from the Male straightman protagonist making come-backs. \r\nHighly reccomend both series!', 'The protagonists of these shows are cornered by a plethora of characters that are considered as crazy and troubling in their perspective. As a result, this pushes them to utilize their vast vocabularies of creating the most hilarious straight man lines you will ever heard! \r\n\r\nSaiki and Kazama try their best to deal with the conflicts that arises against their ideal day-to-day lives in their given comedic environments.', 'Same edgy main character, join a club with a lot of weird girls, same comedy theme']","[1, 1, 1, 1]"
Overlord,"['Tensei shitara Slime Datta Ken', 'One Punch Man', 'Maou-sama, Retry!']","['while both anime have monsters as main characters they take a similar approach to this isekai patern while being overpowerd they tend to always be careful and have as a goal to dominate the world (overlord) or create their own country and have fun (slime isekai)', 'Both protagonists are strongest in their respective world', 'both are isekai where the MC is transported to a new world in their MMORPG character body \r\nboth are extremely overpowered one is an undead and the other a demon lord although avatar/ new body look human\r\nboth help out a struggling village \r\ndifference Overlord is a far darker anime and the MC very morally gray/ anti-hero in a way']","[1, 1, 1]"
One Piece,"['Tokyo Ghoul √A', 'Kami no Tou', 'Fairy Tail', 'Hunter x Hunter (2011)']","['Both are about the main character wanting to protect their friends. In order to do that they had decided to become stronger. Both have MC that isn\'t the brightest of the bunch as the lead. Both had the ""upheaval"" accident that changed their lives forever.', 'the main character learns to make bonds with friends and protect them within all costs. Like an adventure.', 'Natsu is Luffy, Gildarts is Shanks and many others lookalike characters, most arcs come down to the power of friendship and fighting for our friends and nothing else matters, alot of comedy and cool fights/powers, same vibes in doing Guild Missions in Fairy Tail and Pirates Traveling  in One Piece', 'Both of these shows have a similar feeling that will get you hooked and that is just an excellently written story and fun to be had on an adventure into the often unknown. One Piece and Hunter x Hunter have two simple minded and adventurous main characters in Gon and Luffy. I feel like both of the MC’s are easy to get attached to, as easily is at is to get attached to the story’s that unfold for both of them. not just both series being an action adventure, but both being action adventure series that for a lot of the time it will keep you very engaged in the story, because the writing for both of these shonen anime’s have deep layers to them. Some people who liked the deep storytelling of Hunter x Hunter would like the story in One Piece as well, and vice-versa.']","[1, 2, 1, 1]"
Toradora!,"['Blend S', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Kokoro Connect', 'Boku wa Tomodachi ga Sukunai']","['Both animes have a MC that shares the same curse and that curse is scary eyes', ""Both of them are high school romantic/comedy anime with intriguing premises and unique approaches to the romances. Both also have strong, slow burn progression over their comedic episodes. However, Toradora's character development is a lot stronger and its cast is a lot more fleshed out (at least so far, as of writing this Kaguya-sama is 2 episodes into season 2, which makes this hard to compare to a completed show), and it has more serious moments as opposed to Kaguya-sama being more heavily reliant on the comedy. \r\n\r\nBoth also have absolutely adorable characters and character interactions; if you love these idiots in one of these shows, you'll probably also love them in the other. Some parallels between character archetypes could be made, with Taiga/Kaguya being the rich girl/tsundere, Ryuji/Miyuki being reliable/hard workers, and Minori/Chika being the goofy/innocent best friend of the rich girl."", 'Both have groups of five friends with the same gender makeup, leading to almost parallel dynamics. We get a love pentagram of sorts in each show, so both remain undoubtedly interesting. Kokoro throws in a bit of tasteful supernatural to augment the otherwise standard slice-of-life rom-com experience of Toradora.', 'Lol. These two animes is really had same male lead MC characterization. But, the diffirent is the story. You can really see all of the different from episide one. But, as my opinion based on the characterization from male MC, i pretty recommended these two shows']","[1, 1, 1, 1]"
